Name,Date,Age,Expedition,Nationality,Cause of death,Location,Age_outlier,Age_Group
Namgyal Sherpa,2013-05-17,35.0,Adventure Consultants,Nepal,Avalanche,8300m N.E. Ridge,False,21-40
Seo Sung-ho,2013-05-21,33.0,Zero to 8848 expedition,South Korea,Suspected altitude sickness,On descent (south side),False,21-40
Sajal Khaled (Mohammed Khaled Hossain),2013-05-21,35.0,Adventure Consultants,Bangladesh,Suspected altitude sickness,South Col Camp,False,21-40
Unknown climber,2013-05-22,38.0,Adventure Consultants,Nepal,Suspected altitude sickness,Camp IV (south side) in tent,True,21-40
Mingma Tenzing Sherpa,2014-04-02,38.0,Peak Freaks Expedition,Nepal,HAPE,Everest Base Camp,True,21-40
Mingma Nuru Sherpa,2014-04-18,46.0,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,False,41-60
Dorji Sherpa,2014-04-18,38.0,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Ang Tshiri Sherpa,2014-04-18,38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Nima Sherpa,2014-04-18,38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Tenzing Chottar Sherpa,2014-04-18,38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Phurba Ongyal Sherpa,2014-04-18,38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Lapka Tenjing Sherpa,2014-04-18,38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Chhiring Ongchu Sherpa,2014-04-18,38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Dorjee Khatri,2014-04-18,38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Then Dorjee Sherpa,2014-04-18,38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Phur Temba Sherpa,2014-04-18,38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Pasang Karma Sherpa,2014-04-18,38.0,Jagged Globe Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Ankaji Sherpa,2014-04-18,38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
PemTenji Sherpa,2014-04-18,38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Aash Bahadur Gurung,2014-04-18,38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True,21-40
Daniel Paul Fredinburg,2015-04-25,33.0,2015 Jagged Globe Everest Expedition,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Marisa Eve Girawong,2015-04-25,28.0,H.G. Nuptse Expedition 2015,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Thomas Ely Taplin,2015-04-25,61.0,TET Films & Photography,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,61+
Pemba Sherpa,2015-04-25,19.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,0-20
Dawa Tsering Sherpa,2015-04-25,33.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Maila (Milan) Rai,2015-04-25,41.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,41-60
Chhimi Dawa Sherpa,2015-04-25,27.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Pema Yishi (Hissi) Sherpa,2015-04-25,38.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Pasang Temba Sherpa,2015-04-25,38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Krishna Kumar Rai,2015-04-25,38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Tenzing (Tengien) Bhote,2015-04-25,38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Renu Fotedar,2015-04-25,49.0,First Chinese Women Everest Expedition,Australia,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,41-60
Lhakpa Chhiring Sherpa,2015-04-25,33.0,First Chinese Women Everest Expedition,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Vinh B Truong,2015-04-25,48.0,Trekker,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,41-60
Shiva Kumar Shrestha,2015-04-25,25.0,Step Up Campaign Everest,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False,21-40
Unknown climber,2015-04-25,38.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Jangbu Sherpa,2015-05-01,38.0,Adventure Consultants,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True,21-40
Charles MacAdams,2016-05-11,62.0,Adventure Consultants,Canada,Cardiac event,Base Camp North Side,False,61+
Phurba Sherpa,2016-05-19,25.0,Adventure Consultants,Nepal,Fall,Near summit,False,21-40
Eric Arnold,2016-05-21,35.0,Arnold Coster Expeditions,Netherlands,Altitude sickness,South Col / Camp IV,False,21-40
Marisa Elizabeth Strydom,2016-05-22,34.0,Arnold Coster Expeditions,Australia,"Snow blindness, stroke",Near Camp IV,False,21-40
Subhash Pal,2016-05-22,44.0,Trekking Camp Nepal,India,Altitude sickness,Around Camp III,False,41-60
Paresh Chandra Nath,2016-05-22,58.0,Trekking Camp Nepal,India,Exposure,The Balcony,False,41-60
Goutam Ghosh,2016-05-22,50.0,Trekking Camp Nepal,India,Exposure,The Balcony,False,41-60
Min Bahadur Sherchan,2017-05-05,85.0,Adventure Consultants,Nepal,Heart Attack,Base Camp,True,61+
Roland Yearwood,2017-05-20,50.0,Everest Parivar Treks,United States,Altitude sickness,Balcony,False,41-60
Vladimír Štrba,2017-05-21,48.0,Everest Hard Way Slovak Expedition 2017,Slovakia,Altitude sickness,"Camp IV, in the tent",False,41-60
Francesco Enrico Marchetti,2017-05-21,54.0,Expedition Himalaya,Australia,Altitude sickness,Camp IV,False,41-60
Ravi Kumar,2017-05-21,27.0,Arun Treks and Expedition,India,Fall into a 200m crevasse,Balcony,False,21-40
Lam Babu Sherpa,2018-05-14,45.0,Seven Summit Treks,Nepal,Disappearance (reportedly suffered from snow blindness),Above South Col,False,41-60
Pasang Norbu Sherpa,2018-05-18,41.0,7 Summits Club Expedition,Nepal,Stroke,8550m N.E. Ridge,False,41-60
Gjeorgi Petkov,2018-05-20,63.0,Tim Mosedale Everest Expedition Spring 2018,North Macedonia,Cardiac arrest,Above Camp III,False,61+
Nobukazu Kuriki,2018-05-21,36.0,Solo,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt",Camp II,False,21-40
Damai Sarki Sherpa,2018-05-21,37.0,"Himalayan Ascent, Seven Summit Treks",Nepal,Fall into a crevasse,Camp II,False,21-40
Chris Daly,2019-04-20,35.0,Solo,United States,Died after a fall while trekking down from base camp,Base Camp,False,21-40
Séamus (Shay) Lawless,2019-05-16,39.0,Seven Summit Treks,Ireland,Presumed dead after fall,Balcony,False,21-40
Ravi Thakar,2019-05-17,28.0,Seven Summit Treks,India,Altitude sickness,Camp 4,False,21-40
Donald Cash,2019-05-22,55.0,Pioneer Adventures,United States,Altitude sickness,Hillary Step,False,41-60
Nihal Bagwan,2019-05-23,27.0,Peak Promotions,India,Exhaustion on descent,near South Col,False,21-40
Ernst Landgraf,2019-05-23,65.0,Kobler & Partners,Austria,Exhaustion on descent,Tibet side at 8600m after summiting,False,61+
Anjali S Kulkarni,2019-05-23,54.0,Transcent or Arun Treks,India,Exhaustion on descent,Near Camp IV,False,41-60
Kalpana Dash,2019-05-23,52.0,Dreamers Destination Treks,India,Exhaustion on descent,Near Balcony,False,41-60
Kevin Hynes,2019-05-24,56.0,360 Expeditions,Ireland,Altitude sickness,North Col,False,41-60
Dhruba Bista,2019-05-24,38.0,Himalayan Ecstasy (Ski) Treks,Nepal,Exhaustion and altitude sickness,Base Camp following evacuation from Camp III,True,21-40
Robin Haynes Fisher,2019-05-25,44.0,Summit Climb/ Everest Parivar Expedition Ltd,United Kingdom,Exhaustion during descent,100 metres below peak,False,41-60
Christopher Jon Kulish,2019-05-27,62.0,Climbing the Seven Summits,United States,Cardiac event during descent,South Col,False,61+
Puwei Liu,2021-05-12,55.0,Seven Summit Treks,United States,Exhaustion,Near South Summit,False,41-60
Abdul Waraich,2021-05-12,41.0,Seven Summit Treks,Switzerland,Exhaustion,Near South Summit,False,41-60
Pemba Tashi Sherpa,2021-05-18,28.0,Climbing the Seven Summits,Nepal,Fall into a crevasse,Between Camp I & Camp II,False,21-40
Wong Dorchi Sherpa,2021-05-23,38.0,7 Summits Club,Nepal,Avalanche,near South Col,True,21-40
