Name,Date,Age,Expedition,Nationality,Cause of death,Location,Age_outlier
Nima Sherpa,"April 18, 2014",38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Tenzing Chottar Sherpa,"April 18, 2014",38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Phurba Ongyal Sherpa,"April 18, 2014",38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True
Lapka Tenjing Sherpa,"April 18, 2014",38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True
Chhiring Ongchu Sherpa,"April 18, 2014",38.0,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,True
Dorjee Khatri,"April 18, 2014",38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Then Dorjee Sherpa,"April 18, 2014",38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Phur Temba Sherpa,"April 18, 2014",38.0,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Pasang Karma Sherpa,"April 18, 2014",38.0,Jagged Globe Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Ankaji Sherpa,"April 18, 2014",38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
PemTenji Sherpa,"April 18, 2014",38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Aash Bahadur Gurung,"April 18, 2014",38.0,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
Daniel Paul Fredinburg,"April 25, 2015",33.0,2015 Jagged Globe Everest Expedition,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Marisa Eve Girawong,"April 25, 2015",28.0,H.G. Nuptse Expedition 2015,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Thomas Ely Taplin,"April 25, 2015",61.0,TET Films & Photography,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Pemba Sherpa,"April 25, 2015",19.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Dawa Tsering Sherpa,"April 25, 2015",33.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Maila (Milan) Rai,"April 25, 2015",41.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Chhimi Dawa Sherpa,"April 25, 2015",27.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Pema Yishi (Hissi) Sherpa,"April 25, 2015",38.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Pasang Temba Sherpa,"April 25, 2015",38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Krishna Kumar Rai,"April 25, 2015",38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Tenzing (Tengien) Bhote,"April 25, 2015",38.0,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Renu Fotedar,"April 25, 2015",49.0,First Chinese Women Everest Expedition,Australia,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Lhakpa Chhiring Sherpa,"April 25, 2015",33.0,First Chinese Women Everest Expedition,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Vinh B Truong,"April 25, 2015",48.0,Trekker,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Shiva Kumar Shrestha,"April 25, 2015",25.0,Step Up Campaign Everest,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,False
Unknown climber,"April 25, 2015",38.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Jangbu Sherpa,"May 1, 2015",38.0,Adventure Consultants,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,True
Charles MacAdams,"May 11, 2016",62.0,Adventure Consultants,Canada,Cardiac event,Base Camp North Side,False
Phurba Sherpa,"May 19, 2016",25.0,Adventure Consultants,Nepal,Fall,Near summit,False
Eric Arnold,"May 21, 2016",35.0,Arnold Coster Expeditions,Netherlands,Altitude sickness,South Col / Camp IV,False
Marisa Elizabeth Strydom,"May 22, 2016",34.0,Arnold Coster Expeditions,Australia,"Snow blindness, stroke",Near Camp IV,False
Subhash Pal,"May 22, 2016",44.0,Trekking Camp Nepal,India,Altitude sickness,Around Camp III,False
Paresh Chandra Nath,"May 22, 2016",58.0,Trekking Camp Nepal,India,Exposure,The Balcony,False
Goutam Ghosh,"May 22, 2016",50.0,Trekking Camp Nepal,India,Exposure,The Balcony,False
Min Bahadur Sherchan,"May 5, 2017",85.0,Adventure Consultants,Nepal,Heart Attack,Base Camp,True
Roland Yearwood,"May 20, 2017",50.0,Everest Parivar Treks,United States,Altitude sickness,Balcony,False
Vladimír Štrba,"May 21, 2017",48.0,Everest Hard Way Slovak Expedition 2017,Slovakia,Altitude sickness,"Camp IV, in the tent",False
Francesco Enrico Marchetti,"May 21, 2017",54.0,Expedition Himalaya,Australia,Altitude sickness,Camp IV,False
Ravi Kumar,"May 21, 2017",27.0,Arun Treks and Expedition,India,Fall into a 200m crevasse,Balcony,False
Lam Babu Sherpa,"May 14, 2018",45.0,Seven Summit Treks,Nepal,Disappearance (reportedly suffered from snow blindness),Above South Col,False
Pasang Norbu Sherpa,"May 18, 2018",41.0,7 Summits Club Expedition,Nepal,Stroke,8550m N.E. Ridge,False
Gjeorgi Petkov,"May 20, 2018",63.0,Tim Mosedale Everest Expedition Spring 2018,North Macedonia,Cardiac arrest,Above Camp III,False
Nobukazu Kuriki,"May 21, 2018",36.0,Solo,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt",Camp II,False
Damai Sarki Sherpa,"May 21, 2018",37.0,"Himalayan Ascent, Seven Summit Treks",Nepal,Fall into a crevasse,Camp II,False
Chris Daly,"April 20, 2019",35.0,Solo,United States,Died after a fall while trekking down from base camp,Base Camp,False
Séamus (Shay) Lawless,"May 16, 2019",39.0,Seven Summit Treks,Ireland,Presumed dead after fall,Balcony,False
Ravi Thakar,"May 17, 2019",28.0,Seven Summit Treks,India,Altitude sickness,Camp 4,False
Donald Cash,"May 22, 2019",55.0,Pioneer Adventures,United States,Altitude sickness,Hillary Step,False
Nihal Bagwan,"May 23, 2019",27.0,Peak Promotions,India,Exhaustion on descent,near South Col,False
Ernst Landgraf,"May 23, 2019",65.0,Kobler & Partners,Austria,Exhaustion on descent,Tibet side at 8600m after summiting,False
Anjali S Kulkarni,"May 23, 2019",54.0,Transcent or Arun Treks,India,Exhaustion on descent,Near Camp IV,False
Kalpana Dash,"May 23, 2019",52.0,Dreamers Destination Treks,India,Exhaustion on descent,Near Balcony,False
Kevin Hynes,"May 24, 2019",56.0,360 Expeditions,Ireland,Altitude sickness,North Col,False
Dhruba Bista,"May 24, 2019",38.0,Himalayan Ecstasy (Ski) Treks,Nepal,Exhaustion and altitude sickness,Base Camp following evacuation from Camp III,True
Robin Haynes Fisher,"May 25, 2019",44.0,Summit Climb/ Everest Parivar Expedition Ltd,United Kingdom,Exhaustion during descent,100 metres below peak,False
Christopher Jon Kulish,"May 27, 2019",62.0,Climbing the Seven Summits,United States,Cardiac event during descent,South Col,False
Puwei Liu,"May 12, 2021",55.0,Seven Summit Treks,United States,Exhaustion,Near South Summit,False
Abdul Waraich,"May 12, 2021",41.0,Seven Summit Treks,Switzerland,Exhaustion,Near South Summit,False
Pemba Tashi Sherpa,"May 18, 2021",28.0,Climbing the Seven Summits,Nepal,Fall into a crevasse,Between Camp I & Camp II,False
Wong Dorchi Sherpa,"May 23, 2021",38.0,7 Summits Club,Nepal,Avalanche,near South Col,True
